InternalSiteID,Alamat4,Funcloc
ADL-10-001,Kabupaten Konawe Selatan,100000001078
ADL-10-002,Kabupaten Konawe Selatan,100000001079
ADL-10-003,Kabupaten Konawe Selatan,100000001080
ADL-10-004,Kabupaten Konawe Selatan,100000001081
ADL-10-005,Kabupaten Konawe Selatan,100000001082
ADL-10-006,Kabupaten Konawe Selatan,100000001995
ADL-10-007,Kabupaten Konawe Selatan,100000005016
ADL-10-008,Kabupaten Konawe Selatan,100000005045
ADL-10-009,Kabupaten Konawe Selatan,100000012313
ADL-10-010,Kabupaten Konawe Selatan,100000018777
ADL-10-011,Kabupaten Konawe Selatan,100000022154
ADL-10-012,Kabupaten Konawe Selatan,100000045121
ADL-10-013,Kabupaten Konawe Selatan,100000049030
ADL-10-014,Kabupaten Konawe Selatan,100000057811
AGM-03-001,Kabupaten Bengkulu Utara,100000000002
AGM-03-002,Kabupaten Bengkulu Utara,100000001086
AGM-03-003,Kabupaten Bengkulu Utara,100000001087
AGM-03-004,Kabupaten Bengkulu Utara,100000001088
AGM-03-005,Kabupaten Bengkulu Utara,100000001089
AGM-03-006,Kabupaten Bengkulu Utara,100000005384
AGM-03-007,Kabupaten Bengkulu Utara,100000031499
AGM-03-008,Kabupaten Bengkulu Utara,100000035477
AGM-03-009,Kabupaten Bengkulu Utara,100000035480
AGM-03-010,Kabupaten Bengkulu Utara,100000048218
AGM-03-011,Kabupaten Bengkulu Utara,100000057204
AGM-03-012,Kabupaten Bengkulu Utara,100000057686
AGM-03-013,Kabupaten Bengkulu Utara,100000057717
AGM-03-014,Kabupaten Bengkulu Utara,100000058750
AGM-03-015,Kabupaten Bengkulu Utara,100000058751
AKK-01-001,Kabupaten Labuhanbatu Utara,100000000003
AKK-01-002,Kabupaten Labuhanbatu Utara,100000000004
AKK-01-003,Kabupaten Labuhanbatu Utara,100000000005
AKK-01-004,Kabupaten Labuhanbatu Utara,100000000006
AKK-01-005,Kabupaten Labuhanbatu Utara,100000000007
AKK-01-006,Kabupaten Labuhanbatu Utara,100000000695
AKK-01-007,Kabupaten Labuhanbatu Utara,100000001091
AKK-01-008,Kabupaten Labuhanbatu Utara,100000001092
AKK-01-009,Kabupaten Labuhanbatu Utara,100000003007
AKK-01-010,Kabupaten Labuhanbatu Utara,100000003008
AKK-01-011,Kabupaten Labuhanbatu Utara,100000003009
AKK-01-012,Kabupaten Labuhanbatu Utara,100000003010
AKK-01-013,Kabupaten Labuhanbatu Utara,100000005170
AKK-01-014,Kabupaten Labuhanbatu Utara,100000012315
AKK-01-015,Kabupaten Labuhanbatu Utara,100000012317
AKK-01-016,Kabupaten Labuhanbatu Utara,100000014464
AKK-01-017,Kabupaten Labuhanbatu Utara,100000014465
AKK-01-018,Kabupaten Labuhanbatu Utara,100000058698
AKK-01-019,Kabupaten Labuhanbatu Utara,100000058708
AMB-11-001,Kota Ambon,100000000008
AMB-11-002,Kota Ambon,100000000009
AMB-11-003,Kota Ambon,100000000010
AMB-11-004,Kota Ambon,100000001093
AMB-11-005,Kota Ambon,100000004848
AMB-11-006,Kota Ambon,100000012322
AMB-11-007,Kota Ambon,100000014144
AMR-10-001,Kabupaten Minahasa Selatan,100000001094
AMR-10-002,Kabupaten Minahasa Selatan,100000001095
AMT-09-001,Kabupaten Hulu Sungai Utara,100000001098
AMT-09-002,Kabupaten Hulu Sungai Utara,100000014467
ARM-10-001,Kabupaten Minahasa Utara,100000000013
ARM-10-002,Kabupaten Minahasa Utara,100000000014
ARM-10-003,Kabupaten Minahasa Utara,100000000015
ARM-10-004,Kabupaten Minahasa Utara,100000001101
ARM-10-005,Kabupaten Minahasa Utara,100000001102
ARM-10-006,Kabupaten Minahasa Utara,100000001103
ARM-10-007,Kabupaten Minahasa Utara,100000001104
ARM-10-008,Kabupaten Minahasa Utara,100000002464
ARM-10-009,Kabupaten Minahasa Utara,100000002473
ATB-08-001,Kabupaten Belu,100000001108
ATB-08-002,Kabupaten Belu,100000005574
ATB-08-003,Kabupaten Belu,100000005579
ATB-08-004,Kabupaten Belu,100000005580
ATB-08-005,Kabupaten Belu,100000005581
ATB-08-006,Kabupaten Belu,100000012343
ATB-08-007,Kabupaten Belu,100000012344
BAA-08-001,Kabupaten Rote Ndao,100000005357
BAA-08-002,Kabupaten Rote Ndao,100000005360
BAA-08-003,Kabupaten Rote Ndao,100000012345
BAN-10-001,Kabupaten Bantaeng,100000001110
BAN-10-002,Kabupaten Bantaeng,100000001112
BAN-10-003,Kabupaten Bantaeng,100000012348
BAN-10-004,Kabupaten Bantaeng,100000057850
BAR-10-001,Kabupaten Barru,100000001113
BAR-10-002,Kabupaten Barru,100000001115
BAR-10-003,Kabupaten Barru,100000001116
BAR-10-004,Kabupaten Barru,100000001117
BAR-10-005,Kabupaten Barru,100000012351
BAR-10-006,Kabupaten Barru,100000057822
BAU-10-001,Kota Bau Bau,100000000321
BAU-10-002,Kota Bau Bau,100000001119
BBS-06-001,Kabupaten Brebes,100000001124
BBS-06-002,Kabupaten Brebes,100000001126
BBS-06-003,Kabupaten Brebes,100000014940
BBS-06-004,Kabupaten Brebes,100000014948
BBS-06-005,Kabupaten Brebes,100000018211
BBS-06-006,Kabupaten Brebes,100000018228
BBS-06-007,Kabupaten Brebes,100000018229
BBS-06-008,Kabupaten Brebes,100000018231
BBS-06-009,Kabupaten Brebes,100000040056
BBU-03-001,Kabupaten Way Kanan,100000000018
BBU-03-002,Kabupaten Way Kanan,100000000019
BBU-03-003,Kabupaten Way Kanan,100000000020
BBU-03-004,Kabupaten Way Kanan,100000000021
BBU-03-005,Kabupaten Way Kanan,100000000022
BBU-03-006,Kabupaten Way Kanan,100000000023
BBU-03-007,Kabupaten Way Kanan,100000000024
BBU-03-008,Kabupaten Way Kanan,100000001136
BBU-03-009,Kabupaten Way Kanan,100000004978
BBU-03-010,Kabupaten Way Kanan,100000005401
BBU-03-011,Kabupaten Way Kanan,100000005402
BBU-03-012,Kabupaten Way Kanan,100000012755
BBU-03-013,Kabupaten Way Kanan,100000048657
BBU-03-014,Kabupaten Way Kanan,100000058920
BDG-05-001,Kota Bandung,100000000343
BDG-05-002,Kota Bandung,100000000346
BDG-05-003,Kota Bandung,100000000862
BDG-05-004,Kota Bandung,100000000863
BDG-05-005,Kota Bandung,100000000864
BDG-05-006,Kota Bandung,100000000866
BDG-05-007,Kota Bandung,100000000867
BDG-05-008,Kota Bandung,100000000868
BDG-05-009,Kota Bandung,100000000869
BDG-05-010,Kota Bandung,100000001137
BDG-05-011,Kota Bandung,100000001138
BDG-05-012,Kota Bandung,100000001141
BDG-05-013,Kota Bandung,100000001143
BDG-05-014,Kota Bandung,100000001144
BDG-05-015,Kota Bandung,100000001147
BDG-05-016,Kota Bandung,100000001149
BDG-05-017,Kota Bandung,100000003427
BDG-05-018,Kota Bandung,100000003428
BDG-05-019,Kota Bandung,100000003429
BDG-05-020,Kota Bandung,100000003430
BDG-05-021,Kota Bandung,100000003431
BDG-05-022,Kota Bandung,100000003433
BDG-05-023,Kota Bandung,100000003434
BDG-05-024,Kota Bandung,100000003435
BDG-05-025,Kota Bandung,100000003436
BDG-05-026,Kota Bandung,100000003438
BDG-05-027,Kota Bandung,100000003439
BDG-05-028,Kota Bandung,100000003440
BDG-05-029,Kota Bandung,100000003441
